site_code,site_name,site_grade,site_type,area,subarea,job_number_sl6,sap_number
SPK-5001-UR,ศูนย์นิคมอุตสาหกรรมบางปู,A,Indoor,สมุทรปราการ,ฉะเชิงเทรา,SL6-2026-0401,SAP-9004001
SPK-5002-UR,เสาสัญญาณบางพลี 1,B,Outdoor,สมุทรปราการ,กรุงเทพมหานคร,SL6-2026-0402,SAP-9004002
SPK-5003-UR,โหนดโครงข่ายพระประแดง,B,Outdoor,สมุทรปราการ,กรุงเทพมหานคร,SL6-2026-0403,SAP-9004003
SPK-5004-UR,อาคารศูนย์กระจายสินค้าสุวรรณภูมิ,A,Indoor,สมุทรปราการ,ฉะเชิงเทรา,SL6-2026-0404,SAP-9004004
SPK-5005-UR,สถานีชุมสายบางบ่อ,C,Outdoor,สมุทรปราการ,ฉะเชิงเทรา,SL6-2026-0405,SAP-9004005
CHB-5001-UR,สถานีโทรคมนาคมพัทยา,A,Indoor,ชลบุรี,ระยอง,SL6-2026-0501,SAP-9005001
CHB-5002-UR,โหนดแหลมฉบัง,B,Outdoor,ชลบุรี,ฉะเชิงเทรา,SL6-2026-0502,SAP-9005002
CHB-5003-UR,อาคารศูนย์ชุมสายศรีราชา,A,Indoor,ชลบุรี,ระยอง,SL6-2026-0503,SAP-9005003
CHB-5004-UR,เสาสัญญาณสัตหีบ,C,Outdoor,ชลบุรี,ระยอง,SL6-2026-0504,SAP-9005004
CHB-5005-UR,โหนดกระจายสัญญาณพนัสนิคม,B,Indoor,ชลบุรี,ฉะเชิงเทรา,SL6-2026-0505,SAP-9005005
YST-5001-UR,ศูนย์คอมพิวเตอร์ยโสธร,A,Indoor,ยโสธร,อุบลราชธานี,SL6-2026-0601,SAP-9006001
YST-5002-UR,สถานีโทรคมนาคมเลิงนกทา,B,Outdoor,ยโสธร,อำนาจเจริญ,SL6-2026-0602,SAP-9006002
YST-5003-UR,โหนดมหาชนะชัย,A,Indoor,ยโสธร,ศรีสะเกษ,SL6-2026-0603,SAP-9006003
YST-5004-UR,สถานีทรายมูล (Sai Mun Node),C,Outdoor,ยโสธร,ร้อยเอ็ด,SL6-2026-0604,SAP-9006004
YST-5005-UR,ศูนย์กระจายสัญญาณคำเขื่อนแก้ว,B,Indoor,ยโสธร,อุบลราชธานี,SL6-2026-0605,SAP-9006005
UBN-5001-UR,ศูนย์โครงข่ายอุบลราชธานี,A,Indoor,อุบลราชธานี,ยโสธร,SL6-2026-0701,SAP-9007001
UBN-5002-UR,สถานีโทรคมนาคมวารินชำราบ,A,Indoor,อุบลราชธานี,ศรีสะเกษ,SL6-2026-0702,SAP-9007002
UBN-5003-UR,เสาสัญญาณพิบูลมังสาหาร,B,Outdoor,อุบลราชธานี,อำนาจเจริญ,SL6-2026-0703,SAP-9007003
UBN-5004-UR,โหนดชุมสายเดชอุดม,B,Outdoor,อุบลราชธานี,ศรีสะเกษ,SL6-2026-0704,SAP-9007004
UBN-5005-UR,เสาโทรคมนาคมตระการพืชผล,C,Outdoor,อุบลราชธานี,อำนาจเจริญ,SL6-2026-0705,SAP-9007005
KKN-5001-UR,ศูนย์ชุมสายขอนแก่น,A,Indoor,ขอนแก่น,อุดรธานี,SL6-2026-0801,SAP-9008001
KKN-5002-UR,เสาสัญญาณน้ำพอง,C,Outdoor,ขอนแก่น,มหาสารคาม,SL6-2026-0802,SAP-9008002
KKN-5003-UR,โหนดโครงข่ายชุมแพ,B,Outdoor,ขอนแก่น,ชัยภูมิ,SL6-2026-0803,SAP-9008003
KKN-5004-UR,อาคารโทรคมนาคมบ้านไผ่,A,Indoor,ขอนแก่น,มหาสารคาม,SL6-2026-0804,SAP-9008004
KKN-5005-UR,สถานีฐานกระนวน,B,Outdoor,ขอนแก่น,กาฬสินธุ์,SL6-2026-0805,SAP-9008005
CNX-5001-UR,สถานีโทรคมนาคมเชียงใหม่ (นิมมาน),A,Indoor,เชียงใหม่,ลำพูน,SL6-2026-0901,SAP-9009001
CNX-5002-UR,ศูนย์ชุมสายหางดง,A,Indoor,เชียงใหม่,ลำพูน,SL6-2026-0902,SAP-9009002
CNX-5003-UR,เสาสัญญาณฝาง,C,Outdoor,เชียงใหม่,เชียงราย,SL6-2026-0903,SAP-9009003
PKT-5001-UR,โหนดโครงข่ายภูเก็ต (ป่าตอง),A,Indoor,ภูเก็ต,พังงา,SL6-2026-1001,SAP-9010001
SKA-5001-UR,ศูนย์กระจายสัญญาณหาดใหญ่,B,Indoor,สงขลา,พัทลุง,SL6-2026-1002,SAP-9010002
